County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,Health care costs,% Uninsured,%couldnt_access_healthcare,Median Household Income,% high housing costs,Years of Potential Life Lost,% Fair/Poor Health,Mentally Unhealthy Days,Motor Vehicle Mortality Rate,% Uninsured,PCP Rate,Preventable hospital stays rate,% Unemployed,% No Social-Emotional Support,Violent Crime Rate,% Limited Access,% Fast Foods
,19465197,22.0,13.7,14.6,1.0,7.8,0.1,18.0,58,1283834,7.1,51.5,12.1,9,9384,17,12,55147,41,5650,15,3.4,7,14,82,66,8.2,24,391,2,45
Albany,303565,19.5,14.1,12.1,0.3,5.1,0.1,5.2,76,4922,1.7,51.6,9.7,8,8180,12,6,56602,33,6004,13,3.1,7,10,93,62,7.0,20,422,5,47
Allegany,48778,21.2,15.5,1.2,0.3,1.0,0.0,1.4,95,157,0.3,49.5,78.7,10,8167,15,7,39900,27,5486,14,3.5,16,12,33,75,8.7,18,214,3,39
Bronx,1392002,26.5,10.7,30.0,2.9,4.2,0.4,53.8,11,197328,15.5,52.9,0.0,10,9953,22,17,32137,52,7481,24,3.8,4,17,47,81,12.3,34,576,0,63
Broome,199031,19.9,16.6,4.6,0.2,3.6,0.1,3.5,86,1746,0.9,51.0,26.1,10,7988,14,13,43756,30,6606,14,3.8,8,12,80,62,8.5,20,254,5,47
Cattaraugus,79832,23.1,15.6,1.3,3.2,0.7,0.0,1.8,92,550,0.7,50.6,61.8,11,8858,17,11,39368,29,6982,20,3.0,15,14,45,90,8.7,25,245,2,34
Cayuga,79738,21.2,15.5,4.0,0.4,0.6,0.1,2.5,91,460,0.6,49.0,55.8,9,7973,16,12,47875,27,5968,15,4.6,12,13,26,87,7.7,19,205,2,43
Chautauqua,134368,21.5,16.8,2.1,0.6,0.6,0.0,6.3,89,1205,0.9,50.7,43.9,9,8054,15,12,40782,30,6713,16,3.8,12,12,49,57,7.9,18,221,4,41
Chemung,88840,22.1,15.7,6.4,0.3,1.3,0.0,2.7,87,587,0.7,50.2,24.2,10,8820,13,9,47994,28,6651,22,5.4,8,11,69,101,7.9,24,215,6,45
Chenango,50118,22.3,17.0,0.9,0.4,0.5,0.0,1.9,95,264,0.6,50.2,83.4,9,7166,15,14,40693,27,6483,12,2.6,14,12,50,64,8.3,25,100,1,27
Clinton,81945,18.8,13.6,3.7,0.4,1.2,0.0,2.6,91,488,0.6,48.7,64.2,8,8669,14,9,49025,29,5988,14,3.6,12,11,66,91,9.9,19,148,8,36
Columbia,62550,19.7,18.7,4.5,0.3,1.7,0.1,4.0,88,479,0.8,49.8,73.3,8,8557,16,11,53500,34,6493,14,4.0,13,13,49,59,7.4,19,175,5,35
Cortland,49363,20.6,13.3,1.6,0.3,1.0,0.0,2.4,93,318,0.7,51.1,44.3,8,8773,14,14,44397,30,5957,15,3.6,9,11,59,105,8.4,20,194,3,42
Delaware,47559,19.3,19.8,1.6,0.3,0.9,0.0,3.4,93,179,0.4,49.7,78.4,10,8305,16,8,38208,29,6335,12,2.3,18,13,54,95,8.6,23,149,1,36
Dutchess,297999,21.6,13.9,9.4,0.4,3.7,0.1,10.8,74,6024,2.1,50.2,25.4,10,8816,13,13,67153,41,5266,11,3.1,9,11,72,64,7.4,20,295,6,38
Erie,918028,21.3,15.8,13.2,0.7,2.7,0.0,4.7,77,12587,1.4,51.7,9.4,10,7992,12,9,47505,32,7006,14,3.4,7,10,79,53,7.9,19,519,6,50
Essex,39181,18.8,18.5,2.7,0.5,0.7,0.0,2.6,93,696,1.9,48.1,74.9,9,8355,16,16,45668,31,5401,10,3.2,13,14,33,67,9.2,16,139,2,23
Franklin,51551,20.4,13.6,5.7,7.3,0.5,0.0,3.0,82,541,1.1,45.1,62.7,9,7841,19,11,40092,30,6243,15,2.9,15,16,72,78,9.1,21,137,7,39
Fulton,55180,21.8,16.4,1.8,0.2,0.7,0.0,2.4,94,278,0.5,50.6,50.4,9,8005,16,10,46976,33,6107,17,4.5,14,13,50,87,10.0,19,202,3,39
Genesee,59993,21.7,15.9,2.7,1.1,0.7,0.0,2.9,91,471,0.8,50.3,59.9,10,8481,14,3,45955,30,6198,13,4.2,14,11,33,83,7.5,21,178,2,40
Greene,48954,19.0,17.7,5.6,0.3,0.9,0.0,5.1,87,379,0.8,47.8,73.1,9,8459,15,19,45127,36,6914,9,2.6,15,13,33,56,8.7,,205,4,27
Hamilton,4793,16.3,24.1,0.8,0.3,0.5,0.1,1.2,96,14,0.3,49.6,100.0,11,6734,19,,43104,24,7590,,,,17,21,50,7.8,,88,6,23
Herkimer,64160,21.9,16.7,1.1,0.3,0.6,0.0,1.7,95,467,0.8,50.9,51.8,9,8998,15,12,40504,30,6411,12,4.4,13,13,37,98,8.4,22,302,4,38
Jefferson,117910,25.2,11.2,5.3,0.6,1.6,0.3,6.1,84,854,0.8,48.8,48.0,9,7983,17,9,45292,31,6167,14,3.2,11,13,45,72,9.7,16,187,5,42
Kings,2532645,23.6,11.5,31.8,1.0,11.0,0.1,20.0,36,298744,12.9,52.7,0.0,10,11318,20,15,42437,50,6284,20,3.5,5,16,63,75,9.7,31,567,0,52
