County Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Adams County,34442,34370,34408,34655,34771,34962,35216,35409,35565,35688,349486
Allen County,355956,359013,360946,363432,365254,367508,369526,371803,375076,379006,3667520
Bartholomew County,76823,77639,79031,79692,80546,81516,82373,82455,83062,84063,807200
Benton County,8863,8859,8824,8752,8724,8698,8659,8637,8677,8763,87456
Blackford County,12771,12655,12527,12456,12342,12237,12109,12019,11934,11787,122837
Boone County,56924,57924,59050,60373,61663,63080,64274,65833,66999,67915,624035
Brown County,15210,15079,15053,15062,14953,15003,15017,15025,15244,15066,150712
Carroll County,20200,20042,20112,20117,19958,19891,19966,20074,20208,20211,200779
Cass County,38985,38917,38771,38580,38482,38079,37927,37827,37885,37610,383063
Clark County,110572,111504,111879,112722,114082,114887,115660,116648,117287,118191,1143432
Clay County,26863,26847,26796,26670,26439,26406,26218,26176,26215,26301,264931
Clinton County,33222,33034,32889,32765,32461,32372,32156,32155,32113,32298,325465
Crawford County,10711,10622,10669,10621,10669,10556,10569,10532,10585,10593,106127
Daviess County,31721,31952,32113,32274,32671,32819,33000,33127,33314,33439,326430
Dearborn County,50082,49990,49742,49757,49448,49491,49468,49634,49560,49573,496745
Decatur County,25795,25900,26041,26232,26411,26338,26569,26627,26685,26472,263070
DeKalb County,42335,42500,42337,42378,42442,42511,42671,42830,43231,43561,426796
Delaware County,117671,117914,117053,116867,116528,115814,115696,115268,114118,113769,1160698
Dubois County,41905,42159,42084,42281,42306,42329,42463,42520,42568,42578,423193
Elkhart County,197453,198292,198988,200225,201446,203022,203626,204279,205588,206268,2019187
Fayette County,24325,24152,23949,23827,23443,23389,23246,23138,23026,23038,235533
Floyd County,74706,74987,75284,76053,76138,76559,76801,77043,77870,78601,764042
Fountain County,17280,17161,17123,16886,16697,16543,16464,16442,16439,16425,167460
Franklin County,23058,23041,23036,22980,22993,22953,22774,22702,22752,22763,229052
Fulton County,20818,20734,20639,20455,20522,20346,20150,20022,20113,20042,203841
Gibson County,33545,33525,33533,33491,33733,33656,33669,33730,33622,33709,336213
Grant County,69906,69633,69110,68887,68381,67543,66731,66373,66112,65836,678512
Greene County,33205,33034,32947,32746,32654,32428,32231,32194,32124,32117,325680
Hamilton County,276499,283405,289821,296970,302921,308623,316221,323225,330635,337955,3066275
Hancock County,70246,70373,70594,71000,71773,72441,73790,75040,76521,78159,729937
Harrison County,39328,39187,39014,39002,39175,39537,39669,39797,40258,40552,395519
Hendricks County,145954,148678,150761,153596,155906,157848,160459,163637,166759,169924,1573522
Henry County,49530,49221,49118,48847,48887,48662,48349,48178,48205,48025,487022
Howard County,82753,82805,82853,82761,82633,82378,82395,82302,82339,82660,825879
Huntington County,37115,37169,36983,36786,36624,36535,36313,36253,36249,36544,366571
Jackson County,42584,42922,42996,43450,43719,43892,43991,43942,44049,44179,435724
Jasper County,33497,33429,33498,33432,33523,33498,33414,33439,33356,33516,334602
Jay County,21179,21336,21346,21267,21135,21135,21021,20879,20721,20446,210465
Jefferson County,32399,32273,32442,32399,32412,32305,32259,32031,32169,32265,322954
Jennings County,28482,28154,28150,28238,27930,27847,27682,27686,27650,27662,279481
Johnson County,140269,141747,143502,145448,147129,149021,151621,153879,156301,158332,1487249
